Name;Team;Pos;Height;Weight;BMI;Birth_Place;Birthdate;Age;College;allStar;Games Played;MIN;REB;AST;STL;PTS
Aerial Powers;DAL;F;183;71;21.20099137;US;January 17, 1994;23;Michigan State;false;8;173;28;12;3;93
Alana Beard;LA;G/F;185;73;21.32943755;US;May 14, 1982;35;Duke;true;30;947;101;72;63;217
Alex Bentley;CON;G;170;69;23.87543253;US;October 27, 1990;26;Penn State;false;26;617;40;78;22;218
Alex Montgomery;SAN;G/F;185;84;24.54346238;US;December 11, 1988;28;Georgia Tech;true;31;721;169;65;20;188
Alexis Jones;MIN;G;175;78;25.46938776;US;August 5, 1994;23;Baylor;false;24;137;12;12;7;50
Alexis Peterson;SEA;G;170;63;21.79930796;US;June 20, 1995;22;Syracuse;true;14;90;16;11;5;26
Alexis Prince;PHO;G;188;81;22.91760978;US;February 5, 1994;23;Baylor;false;16;112;15;5;4;24
Allie Quigley;CHI;G;178;64;20.19946976;US;June 20, 1986;31;DePaul;true;26;847;92;95;20;442
Allisha Gray;DAL;G;185;76;22.20598977;US;October 20, 1992;24;South Carolina;false;30;834;127;40;47;395
Allison Hightower;WAS;G;178;77;24.30248706;US;June 4, 1988;29;LSU;true;7;103;10;10;5;36
Alysha Clark;SEA;F;180;76;23.45679012;US;July 7, 1987;30;Middle Tennessee;false;30;843;126;50;22;244
Alyssa Thomas;CON;F;188;84;23.76641014;US;December 4, 1992;24;Maryland;false;28;833;192;136;48;399
Amanda Zahui B.;NY;C;196;113;29.41482716;SE;August 9, 1993;24;Minnesota;false;25;133;23;7;4;51
Amber Harris;CHI;F;196;88;22.90712203;US;January 16, 1988;29;Xavier;true;22;146;40;5;3;41
Aneika Henry;ATL;F/C;193;87;23.35633171;JM;February 13, 1986;31;Florida;true;4;22;4;1;2;8
Angel Robinson;PHO;F/C;198;88;22.44668911;US;August 30, 1995;21;Arizona State;false;15;237;58;8;1;58
Asia Taylor;WAS;F;185;76;22.20598977;US;August 22, 1991;26;Louisville;true;20;128;37;9;5;31
Bashaara Graves;CHI;F;188;91;25.74694432;US;March 17, 1994;23;Tennessee;false;5;59;17;3;0;19
Breanna Lewis;DAL;C;196;93;24.20866306;US;June 22, 1994;23;Kansas State;true;12;50;9;2;0;7
Breanna Stewart;SEA;F/C;193;77;20.67169588;US;August 27, 1994;22;Connecticut;true;29;952;249;78;29;584
Bria Hartley;NY;G;173;66;22.05219018;US;September 30, 1992;24;Connecticut;false;29;598;57;58;15;217
Bria Holmes;ATL;G;185;77;22.49817385;US;April 19, 1994;23;West Virginia;true;28;655;85;52;23;235
Briann January;IND;G;173;65;21.71806609;US;November 1, 1987;29;Arizona State;true;25;657;37;98;23;238
Brionna Jones;CON;F;191;104;28.50799046;US;December 18, 1995;21;Maryland;false;19;112;25;2;7;44
Brittany Boyd;NY;G;175;71;23.18367347;US;November 6, 1993;23;UC Berkeley;true;2;32;8;5;3;26
Brittney Griner;PHO;C;206;93;21.91535489;US;October 18, 1990;26;Baylor;true;22;682;172;39;13;461
Brittney Sykes;ATL;G;175;66;21.55102041;US;July 2, 1994;23;Rutgers;true;30;734;119;59;18;397
Camille Little;PHO;F;188;82;23.20054323;US;January 18, 1985;32;North Carolina;true;30;759;113;42;28;228
Candace Parker;LA;F/C;193;79;21.20862305;US;April 19, 1986;31;Tennessee;true;29;889;242;127;43;494
Candice Dupree;IND;F;188;81;22.91760978;US;February 25, 1984;33;Temple;true;29;911;155;47;28;435
Cappie Pondexter;CHI;G;175;73;23.83673469;US;July 1, 1983;34;Rutgers;true;24;676;69;104;17;250
Carolyn Swords;SEA;C;198;95;24.2322212;US;July 19, 1989;28;Boston College;false;26;218;39;9;5;54
Cayla George;PHO;C;193;87;23.35633171;AU;April 20, 1987;30;Georgia;false;28;365;81;15;9;100
Chelsea Gray;LA;G;180;77;23.7654321;US;August 10, 1992;25;Duke;false;30;996;99;132;29;456
Cheyenne Parker;CHI;F;193;86;23.08786813;US;August 22, 1992;25;Middle Tennessee;false;23;286;78;13;8;87
Clarissa dos Santos;SAN;C;185;89;26.00438276;BR;October 3, 1988;28;Brazil;true;7;52;10;7;1;17
Courtney Paris;DAL;C;193;113;30.33638487;US;September 21, 1987;29;Oklahoma;false;16;217;62;5;6;70
Courtney Vandersloot;CHI;G;173;66;22.05219018;US;August 2, 1989;28;Gonzaga;true;22;673;88;175;22;255
Courtney Williams;CON;G;173;62;20.71569381;US;November 5, 1994;22;South Florida;false;29;755;122;60;15;375
Crystal Langhorne;SEA;F/C;188;84;23.76641014;US;October 27, 1986;30;Maryland;false;30;848;175;46;16;370
Damiris Dantas;ATL;C;191;89;24.39626107;BR;November 17, 1992;24;Brazil;true;30;569;113;19;17;254
Danielle Adams;CON;F/C;185;108;31.5558802;US;February 19, 1989;28;Texas A&M;false;18;81;10;4;4;49
Danielle Robinson;PHO;G;175;57;18.6122449;US;October 5, 1989;27;Oklahoma;false;28;680;86;106;33;209
Dearica Hamby;SAN;F;191;86;23.57391519;US;June 11, 1993;24;Wake Forest;false;31;650;139;32;29;253
Devereaux Peters;IND;F;188;79;22.35174287;US;August 10, 1989;28;Notre Dame;false;28;796;77;76;16;514
Diana Taurasi;PHO;G;183;74;22.09680791;US;November 6, 1982;34;Connecticut;true;20;591;129;32;20;376
Elena Delle Donne;WAS;G/F;196;85;22.12619742;US;May 9, 1989;28;Delaware;false;30;939;215;43;32;317
Elizabeth Williams;ATL;F/C;191;87;23.84803048;US;June 23, 1993;24;Duke;false;30;377;96;5;5;128
Emma Cannon;PHO;F;188;86;24.33227705;US;January 6, 1989;28;Central Florida;true;18;508;105;52;21;252
Emma Meesseman;WAS;C;193;83;22.28247738;BE;May 13, 1993;24;Belgium;false;23;617;81;70;34;259
Epiphanny Prince;NY;G;175;81;26.44897959;US;November 1, 1988;28;Rutgers;true;26;282;61;5;4;88
Erica Wheeler;IND;G;170;65;22.49134948;US;February 5, 1991;26;Rutgers;false;30;767;68;117;38;336
rika de Souza;SAN;C;196;86;22.38650562;BR;September 3, 1982;34;Brazil;false;30;579;132;35;18;159
Erlana Larkins;IND;F;185;93;27.17311907;US;February 4, 1986;31;North Carolina;true;20;386;35;24;11;102
Essence Carson;LA;G/F;183;74;22.09680791;US;July 28, 1986;31;Rutgers;true;15;61;9;0;1;13
Evelyn Akhator;DAL;F;191;82;22.47745402;NG;March 2, 1995;22;Kentucky;false;30;926;272;50;37;442
Glory Johnson;DAL;F;191;77;21.10687755;US;July 27, 1990;27;Tennessee;false;4;42;3;1;0;9
